 0.641 0
 2.22903 0
 2.22935 0.00179138
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179166
 2.22937 0.00179165
 2.22937 0.00179165
 2.22937 0.00179165
 2.22937 0.00179165
 2.22937 0.00179165
 2.22937 0.00179165
 2.22937 0.00179165
 2.22937 0.00179164
 2.22937 0.00179164
 2.22937 0.00179164
 2.22937 0.00179164
 2.22937 0.00179164
 2.22937 0.00179164
 2.22937 0.00179163
 2.22937 0.00179163
 2.22937 0.00179163
 2.22937 0.00179163
 2.22937 0.00179162
 2.22937 0.00179162
 2.22937 0.00179162
 2.22937 0.00179162
 2.22937 0.00179161
 2.22937 0.00179161
 2.22937 0.00179161
 2.22937 0.0017916
 2.22937 0.0017916
 2.22937 0.0017916
 2.22938 0.00179159
 2.22938 0.00179159
 2.22938 0.00179159
 2.22938 0.00179159
 2.22938 0.00179158
 2.22938 0.00179158
 2.22938 0.00179157
 2.22938 0.00179157
 2.22938 0.00179156
 2.22938 0.00179156
 2.22938 0.00179156
 2.22938 0.00179156
 2.22938 0.00179155
 2.22938 0.00179155
 2.22938 0.00179154
 2.22938 0.00179154
 2.22938 0.00179153
 2.22938 0.00179153
 2.22938 0.00179152
 2.22939 0.00179152
 2.22939 0.00179151
 2.22939 0.00179151
 2.22939 0.0017915
 2.22939 0.0017915
 2.22939 0.00179149
 2.22939 0.00179149
 2.22939 0.00179148
 2.22939 0.00179148
 2.22939 0.00179147
 2.22939 0.00179147
 2.22939 0.00179146
 2.22939 0.00179146
 2.22939 0.00179145
 2.22939 0.00179145
 2.2294 0.00179144
 2.2294 0.00179144
 2.2294 0.00179143
 2.2294 0.00179142
 2.2294 0.00179142
 2.2294 0.00179141
 2.2294 0.0017914
 2.2294 0.0017914
 2.2294 0.00179139
 2.2294 0.00179139
 2.2294 0.00179138
 2.2294 0.00179137
 2.22941 0.00179137
 2.22941 0.00179136
 2.22941 0.00179135
 2.22941 0.00179135
 2.22941 0.00179134
 2.22941 0.00179133
 2.22941 0.00179132
 2.22941 0.00179132
 2.22941 0.00179131
 2.22941 0.0017913
 2.22941 0.00179129
 2.22942 0.00179129
 2.22942 0.00179128
 2.22942 0.00179127
 2.22942 0.00179126
 2.22942 0.00179126
 2.22942 0.00179125
 2.22942 0.00179124
 2.22942 0.00179123
 2.22942 0.00179122
 2.22942 0.00179122
 2.22943 0.00179121
 2.22943 0.0017912
 2.22943 0.00179119
 2.22943 0.00179118
 2.22943 0.00179117
 2.22943 0.00179117
 2.22943 0.00179116
 2.22943 0.00179115
 2.22943 0.00179114
 2.22944 0.00179113
 2.22944 0.00179112
 2.22944 0.00179111
 2.22944 0.0017911
 2.22944 0.00179109
 2.22944 0.00179108
 2.22944 0.00179107
 2.22944 0.00179106
 2.22945 0.00179105
 2.22945 0.00179104
 2.22945 0.00179104
 2.22945 0.00179102
 2.22945 0.00179102
 2.22945 0.001791
 2.22945 0.001791
 2.22945 0.00179098
 2.22946 0.00179098
 2.22946 0.00179096
 2.22946 0.00179095
 2.22946 0.00179094
 2.22946 0.00179093
 2.22946 0.00179092
 2.22946 0.00179091
 2.22947 0.0017909
 2.22947 0.00179089
 2.22947 0.00179087
 2.22947 0.00179087
 2.22947 0.00179085
 2.22947 0.00179085
 2.22947 0.00179083
 2.22947 0.00179082
 2.22948 0.0017908
 2.22948 0.0017908
 2.22948 0.00179078
 2.22948 0.00179078
 2.22948 0.00179076
 2.22948 0.00179075
 2.22949 0.00179073
 2.22949 0.00179073
 2.22949 0.00179071
 2.22949 0.00179071
 2.22949 0.00179068
 2.22949 0.00179068
 2.2295 0.00179066
 2.2295 0.00179066
 2.2295 0.00179063
 2.2295 0.00179063
 2.2295 0.0017906
 2.2295 0.0017906
 2.2295 0.00179058
 2.2295 0.00179058
 2.22951 0.00179055
 2.22951 0.00179055
 2.22951 0.00179053
 2.22951 0.00179052
 2.22951 0.0017905
 2.22952 0.0017905
 2.22952 0.00179047
 2.22952 0.00179047
 2.22952 0.00179044
 2.22952 0.00179044
 2.22953 0.00179042
 2.22953 0.00179041
 2.22953 0.00179039
 2.22953 0.00179038
 2.22953 0.00179036
 2.22953 0.00179035
 2.22954 0.00179033
 2.22954 0.00179032
 2.22954 0.0017903
 2.22954 0.00179029
 2.22954 0.00179027
 2.22954 0.00179026
 2.22955 0.00179024
 2.22955 0.00179023
 2.22955 0.00179021
 2.22955 0.0017902
 2.22955 0.00179018
 2.22956 0.00179017
 2.22956 0.00179015
 2.22956 0.00179014
 2.22956 0.00179012
 2.22956 0.0017901
 2.22957 0.00179008
 2.22957 0.00179007
 2.22957 0.00179005
 2.22957 0.00179004
 2.22957 0.00179002
 2.22958 0.00179
 2.22958 0.00178999
 2.22958 0.00178997
 2.22958 0.00178995
 2.22958 0.00178994
 2.22959 0.00178992
 2.22959 0.0017899
 2.22959 0.00178989
 2.22959 0.00178987
 2.22959 0.00178985
 2.2296 0.00178983
 2.2296 0.00178982
 2.2296 0.00178979
 2.2296 0.00178978
 2.2296 0.00178976
 2.22961 0.00178975
 2.22961 0.00178972
 2.22961 0.00178971
 2.22961 0.00178968
 2.22961 0.00178967
 2.22962 0.00178965
 2.22962 0.00178964
 2.22962 0.00178961
 2.22962 0.0017896
 2.22963 0.00178957
