# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|q0|²	|q1|²	|q2|²	N
#
  0.54653 	0          	0          	0          	0          	1          
  0.54686 	0          	0          	0          	0          	1          
  0.54719 	0          	0          	0          	0          	1          
  0.54752 	0          	0          	0          	0          	1          
  0.54785 	0          	0          	0          	0          	1          
  0.54818 	0          	0          	0          	0          	1          
  0.54851 	0          	0          	0          	0          	1          
  0.54884 	0          	0          	0          	0          	1          
  0.54917 	0          	0          	0          	0          	1          
  0.5495  	0          	0          	0          	0          	1          
  0.54983 	0          	0          	0          	0          	1          
  0.55016 	0          	0          	0          	0          	1          
  0.55049 	0          	0          	0          	0          	1          
  0.55082 	0          	0          	0          	0          	1          
  0.55115 	0          	0          	0          	0          	1          
  0.55148 	0          	0          	0          	0          	1          
  0.55181 	0          	0          	0          	0          	1          
  0.55214 	0          	0          	0          	0          	1          
  0.55247 	0          	0          	0          	0          	1          
  0.5528  	0          	0          	0          	0          	1          
  0.55313 	0          	0          	0          	0          	1          
  0.55346 	0          	0          	0          	0          	1          
  0.55379 	0          	0          	0          	0          	1          
  0.55412 	0          	0          	0          	0          	1          
  0.55445 	0          	0          	0          	0          	1          
  0.55478 	0          	0          	0          	0          	1          
  0.55511 	0          	0          	0          	0          	1          
  0.55544 	0          	0          	0          	0          	1          
  0.55577 	0          	0          	0          	0          	1          
  0.5561  	0          	0          	0          	0          	1          
  0.55643 	0          	0          	0          	0          	1          
  0.55676 	0          	0          	0          	0          	1          
  0.55709 	0          	0          	0          	0          	1          
  0.55742 	0          	0          	0          	0          	1          
  0.55775 	0          	0          	0          	0          	1          
  0.55808 	0          	0          	0          	0          	1          
  0.55841 	0          	0          	0          	0          	1          
  0.55874 	0          	0          	0          	0          	1          
  0.55907 	0          	0          	0          	0          	1          
  0.5594  	0          	0          	0          	0          	1          
  0.55973 	0          	0          	0          	0          	1          
  0.56006 	0          	0          	0          	0          	1          
  0.56039 	0          	0          	0          	0          	1          
  0.56072 	0          	0          	0          	0          	1          
  0.56105 	0          	0          	0          	0          	1          
  0.56138 	0          	0          	0          	0          	1          
  0.56171 	0          	0          	0          	0          	1          
  0.56204 	0          	0          	0          	0          	1          
  0.56237 	0          	0          	0          	0          	1          
  0.5627  	0          	0          	0          	0          	1          
  0.56303 	0          	0          	0          	0          	1          
  0.56336 	0          	0          	0          	0          	1          
  0.56369 	0          	0          	0          	0          	1          
  0.56402 	0          	0          	0          	0          	1          
  0.56435 	0          	0          	0          	0          	1          
  0.56468 	0          	0          	0          	0          	1          
  0.56501 	0          	0          	0          	0          	1          
  0.56534 	0          	0          	0          	0          	1          
  0.56567 	0          	0          	0          	0          	1          
  0.566   	0          	0          	0          	0          	1          
  0.56633 	0          	0          	0          	0          	1          
  0.56666 	0          	0          	0          	0          	1          
  0.56699 	0          	0          	0          	0          	1          
  0.56732 	0          	0          	0          	0          	1          
  0.56765 	0          	0          	0          	0          	1          
  0.56798 	0          	0          	0          	0          	1          
  0.56831 	0          	0          	0          	0          	1          
  0.56864 	0          	0          	0          	0          	1          
  0.56897 	0          	0          	0          	0          	1          
  0.5693  	0          	0          	0          	0          	1          
  0.56963 	0          	0          	0          	0          	1          
  0.56996 	0          	0          	0          	0          	1          
  0.57029 	0          	0          	0          	0          	1          
  0.57062 	0          	0          	0          	0          	1          
  0.57095 	0          	0          	0          	0          	1          
  0.57128 	0          	0          	0          	0          	1          
  0.57161 	0          	0          	0          	0          	1          
  0.57194 	0          	0          	0          	0          	1          
  0.57227 	0          	0          	0          	0          	1          
  0.5726  	0          	0          	0          	0          	1          
  0.57293 	0          	0          	0          	0          	1          
  0.57326 	0          	0          	0          	0          	1          
  0.57359 	0          	0          	0          	0          	1          
  0.57392 	0          	0          	0          	0          	1          
  0.57425 	0          	0          	0          	0          	1          
  0.57458 	0          	0          	0          	0          	1          
  0.57491 	0          	0          	0          	0          	1          
  0.57524 	0          	0          	0          	0          	1          
  0.57557 	0          	0          	0          	0          	1          
  0.5759  	0          	0          	0          	0          	1          
  0.57623 	0          	0          	0          	0          	1          
  0.57656 	0          	0          	0          	0          	1          
  0.57689 	0          	0          	0          	0          	1          
  0.57722 	0          	0          	0          	0          	1          
  0.57755 	0          	0          	0          	0          	1          
  0.57788 	0          	0          	0          	0          	1          
  0.57821 	0          	0          	0          	0          	1          
  0.57854 	0          	0          	0          	0          	1          
  0.57887 	0          	0          	0          	0          	1          
  0.5792  	0          	0          	0          	0          	1          
  0.57953 	0          	0          	0          	0          	1          
  0.57986 	0          	0          	0          	0          	1          
  0.58019 	0          	0          	0          	0          	1          
  0.58052 	0          	0          	0          	0          	1          
  0.58085 	0          	0          	0          	0          	1          
  0.58118 	0          	0          	0          	0          	1          
  0.58151 	0          	0          	0          	0          	1          
  0.58184 	0          	0          	0          	0          	1          
  0.58217 	0          	0          	0          	0          	1          
  0.5825  	0          	0          	0          	0          	1          
  0.58283 	0          	0          	0          	0          	1          
  0.58316 	0          	0          	0          	0          	1          
  0.58349 	0          	0          	0          	0          	1          
  0.58382 	0          	0          	0          	0          	1          
  0.58415 	0          	0          	0          	0          	1          
  0.58448 	0          	0          	0          	0          	1          
  0.58481 	0          	0          	0          	0          	1          
  0.58514 	0          	0          	0          	0          	1          
  0.58547 	0          	0          	0          	0          	1          
  0.5858  	0          	0          	0          	0          	1          
  0.58613 	0          	0          	0          	0          	1          
