# * EIGENVALUES * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.269814
# a drude model was used for silver
# ------------- 
# ome (eV)	real(k1)	imag(k1)	real(k2)	imag(k2)	real(k3)	imag(k3)
#
  2       	-0.0279443 	-2.90787   	-0.0807614 	-0.825038  	-0.0112462 	-0.963643  	0.000311367	0.00260733 
  2.00025 	-0.0279387 	-2.90725   	-0.0807695 	-0.824793  	-0.0112353 	-0.963265  	0.000311171	0.00260499 
  2.0005  	-0.0279332 	-2.90664   	-0.0807776 	-0.824549  	-0.0112244 	-0.962888  	0.000310975	0.00260264 
  2.00075 	-0.0279276 	-2.90603   	-0.0807857 	-0.824304  	-0.0112135 	-0.96251   	0.000310779	0.0026003  
  2.001   	-0.027922  	-2.90541   	-0.0807938 	-0.82406   	-0.0112026 	-0.962133  	0.000310584	0.00259796 
  2.00125 	-0.0279164 	-2.9048    	-0.0808019 	-0.823816  	-0.0111917 	-0.961756  	0.000310388	0.00259563 
  2.0015  	-0.0279109 	-2.90419   	-0.08081   	-0.823571  	-0.0111807 	-0.961378  	0.000310193	0.00259329 
  2.00175 	-0.0279053 	-2.90357   	-0.0808182 	-0.823327  	-0.0111698 	-0.961001  	0.000309998	0.00259096 
  2.002   	-0.0278997 	-2.90296   	-0.0808263 	-0.823082  	-0.0111588 	-0.960624  	0.000309803	0.00258863 
  2.00225 	-0.0278942 	-2.90235   	-0.0808345 	-0.822838  	-0.0111479 	-0.960247  	0.000309608	0.00258629 
  2.0025  	-0.0278886 	-2.90174   	-0.0808427 	-0.822593  	-0.0111369 	-0.95987   	0.000309413	0.00258397 
  2.00275 	-0.0278831 	-2.90112   	-0.0808509 	-0.822349  	-0.0111259 	-0.959493  	0.000309218	0.00258164 
  2.003   	-0.0278775 	-2.90051   	-0.0808591 	-0.822104  	-0.0111149 	-0.959116  	0.000309023	0.00257931 
  2.00325 	-0.0278719 	-2.8999    	-0.0808673 	-0.82186   	-0.0111039 	-0.958739  	0.000308828	0.00257699 
  2.0035  	-0.0278664 	-2.89929   	-0.0808755 	-0.821615  	-0.0110929 	-0.958362  	0.000308634	0.00257466 
