# * PROBETEST * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.155143
# ome = 2.8122 eV
# Esat = 0.310942
# a drude model was used for silver
# ------------- 
# t (ps)      E0      E0/Esat       Dipmax
#
  11.9347 	3.10942e-16  	1e-15        	0.0253003    
  11.9035 	3.33227e-16  	1.07167e-15  	0.0253003    
  11.8723 	3.57108e-16  	1.14847e-15  	0.0253003    
  11.8411 	3.82701e-16  	1.23078e-15  	0.0253003    
  11.8099 	4.10129e-16  	1.31899e-15  	0.0253003    
  11.7787 	4.39522e-16  	1.41352e-15  	0.0253003    
  11.7475 	4.71021e-16  	1.51482e-15  	0.0253003    
  11.7163 	5.04778e-16  	1.62338e-15  	0.0253003    
  11.6851 	5.40954e-16  	1.73973e-15  	0.0253003    
  11.6538 	5.79723e-16  	1.86441e-15  	0.0253003    
  11.6226 	6.21271e-16  	1.99803e-15  	0.0253003    
  11.5914 	6.65796e-16  	2.14122e-15  	0.0253003    
  11.5603 	7.13512e-16  	2.29468e-15  	0.0253003    
  11.5291 	7.64647e-16  	2.45913e-15  	0.0253003    
  11.4979 	8.19448e-16  	2.63537e-15  	0.0253003    
  11.4667 	8.78176e-16  	2.82424e-15  	0.0253003    
  11.4355 	9.41112e-16  	3.02665e-15  	0.0253003    
  11.4042 	1.00856e-15  	3.24356e-15  	0.0253003    
  11.373  	1.08084e-15  	3.47602e-15  	0.0253003    
  11.3418 	1.1583e-15   	3.72513e-15  	0.0253003    
  11.3106 	1.24131e-15  	3.99209e-15  	0.0253003    
  11.2794 	1.33028e-15  	4.27822e-15  	0.0253003    
  11.2482 	1.42561e-15  	4.58481e-15  	0.0253003    
  11.217  	1.52779e-15  	4.91342e-15  	0.0253003    
  11.1858 	1.63728e-15  	5.26555e-15  	0.0253003    
  11.1546 	1.75462e-15  	5.64292e-15  	0.0253003    
  11.1234 	1.88037e-15  	6.04733e-15  	0.0253003    
  11.0922 	2.01513e-15  	6.48072e-15  	0.0253003    
  11.061  	2.15955e-15  	6.94518e-15  	0.0253003    
  11.0298 	2.31432e-15  	7.44293e-15  	0.0253003    
  10.9986 	2.48018e-15  	7.97634e-15  	0.0253003    
  10.9674 	2.65793e-15  	8.54799e-15  	0.0253003    
  10.9361 	2.84842e-15  	9.16061e-15  	0.0253003    
  10.9049 	3.05256e-15  	9.81713e-15  	0.0253003    
  10.8737 	3.27132e-15  	1.05207e-14  	0.0253003    
  10.8425 	3.50577e-15  	1.12747e-14  	0.0253003    
  10.8113 	3.75702e-15  	1.20827e-14  	0.0253003    
  10.7801 	4.02628e-15  	1.29486e-14  	0.0253003    
  10.7489 	4.31483e-15  	1.38766e-14  	0.0253003    
  10.7177 	4.62407e-15  	1.48712e-14  	0.0253003    
  10.6865 	4.95546e-15  	1.59369e-14  	0.0253003    
  10.6553 	5.31061e-15  	1.70791e-14  	0.0253003    
  10.6241 	5.69121e-15  	1.83031e-14  	0.0253003    
  10.5929 	6.09909e-15  	1.96149e-14  	0.0253003    
  10.5617 	6.53619e-15  	2.10206e-14  	0.0253003    
  10.5305 	7.00463e-15  	2.25271e-14  	0.0253003    
  10.4993 	7.50663e-15  	2.41416e-14  	0.0253003    
  10.4681 	8.04461e-15  	2.58717e-14  	0.0253003    
  10.4368 	8.62115e-15  	2.77259e-14  	0.0253003    
  10.4056 	9.23901e-15  	2.9713e-14   	0.0253003    
  10.3744 	9.90115e-15  	3.18424e-14  	0.0253003    
  10.3432 	1.06107e-14  	3.41244e-14  	0.0253003    
  10.312  	1.13712e-14  	3.65702e-14  	0.0253003    
  10.2809 	1.21861e-14  	3.91909e-14  	0.0253003    
  10.2497 	1.30595e-14  	4.19998e-14  	0.0253003    
  10.2185 	1.39954e-14  	4.50097e-14  	0.0253003    
  10.1872 	1.49984e-14  	4.82353e-14  	0.0253003    
  10.156  	1.60733e-14  	5.16923e-14  	0.0253003    
  10.1248 	1.72253e-14  	5.53971e-14  	0.0253003    
  10.0936 	1.84598e-14  	5.93673e-14  	0.0253003    
  10.0624 	1.97828e-14  	6.36221e-14  	0.0253003    
  10.0312 	2.12005e-14  	6.81815e-14  	0.0253003    
  10      	2.27199e-14  	7.30679e-14  	0.0253003    
  9.96882 	2.43482e-14  	7.83046e-14  	0.0253003    
  9.93755 	2.60932e-14  	8.39166e-14  	0.0253003    
  9.90636 	2.79632e-14  	8.99306e-14  	0.0253003    
  9.87516 	2.99673e-14  	9.63758e-14  	0.0253003    
  9.84396 	3.2115e-14   	1.03283e-13  	0.0253003    
  9.81277 	3.44166e-14  	1.10685e-13  	0.0253003    
  9.78157 	3.68831e-14  	1.18617e-13  	0.0253003    
  9.75037 	3.95265e-14  	1.27119e-13  	0.0253003    
  9.71918 	4.23592e-14  	1.36229e-13  	0.0253003    
  9.68791 	4.5395e-14   	1.45992e-13  	0.0253003    
  9.65672 	4.86484e-14  	1.56455e-13  	0.0253003    
  9.62552 	5.21349e-14  	1.67668e-13  	0.0253003    
  9.59432 	5.58713e-14  	1.79684e-13  	0.0253003    
  9.56313 	5.98754e-14  	1.92561e-13  	0.0253003    
  9.53193 	6.41666e-14  	2.06362e-13  	0.0253003    
  9.50073 	6.87652e-14  	2.21151e-13  	0.0253003    
  9.46947 	7.36935e-14  	2.37001e-13  	0.0253003    
  9.43827 	7.89749e-14  	2.53986e-13  	0.0253003    
  9.40708 	8.46349e-14  	2.72189e-13  	0.0253003    
  9.37588 	9.07004e-14  	2.91695e-13  	0.0253003    
  9.34468 	9.72007e-14  	3.12601e-13  	0.0253003    
  9.31349 	1.04167e-13  	3.35004e-13  	0.0253003    
  9.28229 	1.11632e-13  	3.59012e-13  	0.0253003    
  9.25109 	1.19633e-13  	3.84744e-13  	0.0253003    
  9.21983 	1.28206e-13  	4.12315e-13  	0.0253003    
  9.18863 	1.37395e-13  	4.41867e-13  	0.0253003    
  9.15744 	1.47242e-13  	4.73535e-13  	0.0253003    
  9.12624 	1.57794e-13  	5.07471e-13  	0.0253003    
  9.09504 	1.69103e-13  	5.43841e-13  	0.0253003    
  9.06385 	1.81222e-13  	5.82816e-13  	0.0253003    
  9.03265 	1.9421e-13   	6.24586e-13  	0.0253003    
  9.00145 	2.08128e-13  	6.69346e-13  	0.0253003    
  8.97019 	2.23044e-13  	7.17317e-13  	0.0253003    
  8.93899 	2.39029e-13  	7.68725e-13  	0.0253003    
  8.9078  	2.5616e-13   	8.23819e-13  	0.0253003    
  8.8766  	2.74518e-13  	8.82859e-13  	0.0253003    
  8.8454  	2.94192e-13  	9.46131e-13  	0.0253003    
  8.81421 	3.15276e-13  	1.01394e-12  	0.0253003    
  8.78301 	3.37872e-13  	1.08661e-12  	0.0253003    
  8.75181 	3.62086e-13  	1.16448e-12  	0.0253003    
  8.72055 	3.88036e-13  	1.24794e-12  	0.0253003    
  8.68935 	4.15846e-13  	1.33737e-12  	0.0253003    
  8.65815 	4.45648e-13  	1.43322e-12  	0.0253003    
  8.62696 	4.77587e-13  	1.53594e-12  	0.0253003    
  8.59576 	5.11814e-13  	1.64601e-12  	0.0253003    
  8.56457 	5.48495e-13  	1.76398e-12  	0.0253003    
  8.53337 	5.87804e-13  	1.8904e-12   	0.0253003    
  8.5021  	6.29931e-13  	2.02588e-12  	0.0253003    
  8.47091 	6.75076e-13  	2.17107e-12  	0.0253003    
  8.43971 	7.23457e-13  	2.32666e-12  	0.0253003    
  8.40851 	7.75306e-13  	2.49341e-12  	0.0253003    
  8.37732 	8.3087e-13   	2.67211e-12  	0.0253003    
  8.34612 	8.90417e-13  	2.86361e-12  	0.0253003    
  8.31492 	9.54231e-13  	3.06884e-12  	0.0253003    
  8.28373 	1.02262e-12  	3.28878e-12  	0.0253003    
  8.25246 	1.09591e-12  	3.52448e-12  	0.0253003    
  8.22127 	1.17445e-12  	3.77707e-12  	0.0253003    
  8.19007 	1.25862e-12  	4.04776e-12  	0.0253003    
  8.15887 	1.34882e-12  	4.33785e-12  	0.0253003    
  8.12768 	1.44549e-12  	4.64874e-12  	0.0253003    
  8.09648 	1.54908e-12  	4.98189e-12  	0.0253003    
  8.06528 	1.6601e-12   	5.33894e-12  	0.0253003    
  8.03409 	1.77908e-12  	5.72158e-12  	0.0253003    
  8.00282 	1.90658e-12  	6.13162e-12  	0.0253003    
  7.97163 	2.04322e-12  	6.57106e-12  	0.0253003    
  7.94043 	2.18965e-12  	7.04199e-12  	0.0253003    
  7.90923 	2.34658e-12  	7.54668e-12  	0.0253003    
  7.87804 	2.51475e-12  	8.08752e-12  	0.0253003    
  7.84684 	2.69498e-12  	8.66714e-12  	0.0253003    
  7.81564 	2.88812e-12  	9.28829e-12  	0.0253003    
  7.78445 	3.09511e-12  	9.95398e-12  	0.0253003    
  7.75318 	3.31692e-12  	1.06673e-11  	0.0253003    
