# * COMPONENTS * 
#
# file generated by ** cup.H ** 
#
# a drude model was used for silver
# ------------- 
# ome (eV)	real(eps1)	imag(eps1)	real(eps2)	imag(eps2)
#
  2.3128  	2.11159    	-0.00300538	-11.9276   	0.169833   
  2.314   	2.11154    	-0.00301956	-11.9097   	0.169568   
  2.3152  	2.1115     	-0.00303383	-11.8919   	0.169305   
  2.3164  	2.11145    	-0.00304821	-11.8741   	0.169042   
  2.3176  	2.1114     	-0.00306268	-11.8563   	0.16878    
  2.3188  	2.11136    	-0.00307726	-11.8385   	0.168518   
  2.32    	2.11131    	-0.00309194	-11.8208   	0.168256   
  2.3212  	2.11126    	-0.00310673	-11.8031   	0.167996   
  2.3224  	2.11121    	-0.00312162	-11.7855   	0.167735   
  2.3236  	2.11117    	-0.00313662	-11.7678   	0.167476   
  2.3248  	2.11112    	-0.00315173	-11.7502   	0.167216   
  2.326   	2.11107    	-0.00316694	-11.7326   	0.166958   
  2.3272  	2.11102    	-0.00318227	-11.7151   	0.1667     
  2.3284  	2.11097    	-0.0031977 	-11.6975   	0.166442   
  2.3296  	2.11092    	-0.00321325	-11.68     	0.166185   
  2.3308  	2.11087    	-0.00322891	-11.6625   	0.165928   
  2.332   	2.11083    	-0.00324468	-11.6451   	0.165672   
  2.3332  	2.11078    	-0.00326057	-11.6277   	0.165417   
  2.3344  	2.11073    	-0.00327657	-11.6103   	0.165162   
  2.3356  	2.11068    	-0.0032927 	-11.5929   	0.164908   
  2.3368  	2.11063    	-0.00330894	-11.5756   	0.164654   
  2.338   	2.11058    	-0.00332529	-11.5582   	0.1644     
  2.3392  	2.11052    	-0.00334177	-11.5409   	0.164147   
  2.3404  	2.11047    	-0.00335838	-11.5237   	0.163895   
  2.3416  	2.11042    	-0.0033751 	-11.5064   	0.163643   
  2.3428  	2.11037    	-0.00339195	-11.4892   	0.163392   
  2.344   	2.11032    	-0.00340892	-11.4721   	0.163141   
  2.3452  	2.11027    	-0.00342602	-11.4549   	0.162891   
  2.3464  	2.11022    	-0.00344325	-11.4378   	0.162641   
  2.3476  	2.11016    	-0.00346061	-11.4207   	0.162392   
  2.3488  	2.11011    	-0.0034781 	-11.4036   	0.162143   
  2.35    	2.11006    	-0.00349572	-11.3865   	0.161895   
  2.3512  	2.11       	-0.00351347	-11.3695   	0.161647   
  2.3524  	2.10995    	-0.00353136	-11.3525   	0.1614     
  2.3536  	2.1099     	-0.00354938	-11.3355   	0.161153   
  2.3548  	2.10984    	-0.00356754	-11.3186   	0.160907   
  2.356   	2.10979    	-0.00358584	-11.3016   	0.160661   
  2.3572  	2.10973    	-0.00360428	-11.2848   	0.160416   
  2.3584  	2.10968    	-0.00362286	-11.2679   	0.160171   
  2.3596  	2.10962    	-0.00364158	-11.251    	0.159927   
  2.3608  	2.10957    	-0.00366045	-11.2342   	0.159683   
  2.362   	2.10951    	-0.00367946	-11.2174   	0.15944    
  2.3632  	2.10946    	-0.00369862	-11.2007   	0.159197   
  2.3644  	2.1094     	-0.00371793	-11.1839   	0.158955   
  2.3656  	2.10935    	-0.00373738	-11.1672   	0.158713   
  2.3668  	2.10929    	-0.00375699	-11.1505   	0.158472   
  2.368   	2.10923    	-0.00377676	-11.1338   	0.158231   
  2.3692  	2.10917    	-0.00379667	-11.1172   	0.157991   
  2.3704  	2.10912    	-0.00381675	-11.1006   	0.157751   
  2.3716  	2.10906    	-0.00383698	-11.084    	0.157512   
  2.3728  	2.109      	-0.00385737	-11.0674   	0.157273   
  2.374   	2.10894    	-0.00387793	-11.0509   	0.157035   
  2.3752  	2.10888    	-0.00389864	-11.0344   	0.156797   
  2.3764  	2.10883    	-0.00391953	-11.0179   	0.156559   
  2.3776  	2.10877    	-0.00394057	-11.0014   	0.156322   
  2.3788  	2.10871    	-0.00396179	-10.985    	0.156086   
  2.38    	2.10865    	-0.00398318	-10.9685   	0.15585    
  2.3812  	2.10859    	-0.00400473	-10.9522   	0.155614   
  2.3824  	2.10853    	-0.00402647	-10.9358   	0.155379   
  2.3836  	2.10847    	-0.00404837	-10.9194   	0.155145   
  2.3848  	2.1084     	-0.00407046	-10.9031   	0.154911   
  2.386   	2.10834    	-0.00409272	-10.8868   	0.154677   
  2.3872  	2.10828    	-0.00411517	-10.8706   	0.154444   
  2.3884  	2.10822    	-0.0041378 	-10.8543   	0.154211   
  2.3896  	2.10816    	-0.00416061	-10.8381   	0.153979   
  2.3908  	2.10809    	-0.00418361	-10.8219   	0.153748   
  2.392   	2.10803    	-0.0042068 	-10.8057   	0.153516   
  2.3932  	2.10797    	-0.00423019	-10.7896   	0.153285   
  2.3944  	2.1079     	-0.00425376	-10.7735   	0.153055   
  2.3956  	2.10784    	-0.00427753	-10.7574   	0.152825   
  2.3968  	2.10778    	-0.0043015 	-10.7413   	0.152596   
  2.398   	2.10771    	-0.00432567	-10.7253   	0.152367   
  2.3992  	2.10765    	-0.00435004	-10.7092   	0.152138   
  2.4004  	2.10758    	-0.00437461	-10.6932   	0.15191    
  2.4016  	2.10751    	-0.00439939	-10.6772   	0.151683   
  2.4028  	2.10745    	-0.00442438	-10.6613   	0.151456   
  2.404   	2.10738    	-0.00444958	-10.6454   	0.151229   
  2.4052  	2.10732    	-0.004475  	-10.6295   	0.151003   
  2.4064  	2.10725    	-0.00450063	-10.6136   	0.150777   
  2.4076  	2.10718    	-0.00452648	-10.5977   	0.150552   
  2.4088  	2.10711    	-0.00455254	-10.5819   	0.150327   
  2.41    	2.10705    	-0.00457884	-10.5661   	0.150102   
