-0.849912 6.3 2.14928e-14 0.00412845 0.00412851 0.124403 2.81188 0.0176489
-0.863403 6.4 2.07146e-14 0.00414062 0.00414068 0.123918 2.81187 0.0173731
-0.876893 6.5 1.99785e-14 0.00415242 0.00415248 0.123441 2.81186 0.0171058
-0.890384 6.6 1.92814e-14 0.00416386 0.00416392 0.122974 2.81186 0.0168467
-0.903875 6.7 1.86207e-14 0.00417496 0.00417501 0.122516 2.81185 0.0165952
-0.917365 6.8 1.79939e-14 0.00418573 0.00418578 0.122067 2.81184 0.0163512
-0.930856 6.9 1.73987e-14 0.00419619 0.00419624 0.121626 2.81183 0.0161142
-0.944347 7 1.6833e-14 0.00420635 0.0042064 0.121195 2.81182 0.015884
-0.957837 7.1 1.62948e-14 0.00421622 0.00421628 0.120772 2.81182 0.0156603
-0.971328 7.2 1.57825e-14 0.00422582 0.00422588 0.120358 2.81181 0.0154428
-0.984819 7.3 1.52944e-14 0.00423516 0.00423521 0.119952 2.8118 0.0152312
-0.998309 7.4 1.4829e-14 0.00424424 0.0042443 0.119555 2.81179 0.0150254
-1.0118 7.5 1.43849e-14 0.00425308 0.00425314 0.119166 2.81178 0.0148251
-1.02529 7.6 1.39608e-14 0.00426169 0.00426175 0.118785 2.81177 0.01463
-1.03878 7.7 1.35556e-14 0.00427008 0.00427014 0.118412 2.81177 0.01444
-1.05227 7.8 1.31681e-14 0.00427825 0.00427831 0.118047 2.81176 0.0142549
-1.06576 7.9 1.27974e-14 0.00428621 0.00428627 0.11769 2.81175 0.0140744
-1.07925 8 1.24424e-14 0.00429398 0.00429404 0.11734 2.81174 0.0138985
-1.09274 8.1 1.21023e-14 0.00430155 0.00430161 0.116997 2.81173 0.0137269
-1.10623 8.2 1.17762e-14 0.00430894 0.004309 0.116662 2.81172 0.0135595
-1.11973 8.3 1.14635e-14 0.00431615 0.00431621 0.116334 2.81172 0.0133961
-1.13322 8.4 1.11634e-14 0.00432319 0.00432325 0.116013 2.81171 0.0132367
-1.14671 8.5 1.08751e-14 0.00433006 0.00433012 0.115698 2.8117 0.0130809
-1.1602 8.6 1.05982e-14 0.00433678 0.00433683 0.11539 2.81169 0.0129288
-1.17369 8.7 1.0332e-14 0.00434333 0.00434339 0.115089 2.81168 0.0127802
-1.18718 8.8 1.0076e-14 0.00434974 0.0043498 0.114793 2.81167 0.012635
-1.20067 8.9 9.82961e-15 0.00435601 0.00435607 0.114504 2.81167 0.012493
-1.21416 9 9.59241e-15 0.00436214 0.00436219 0.114221 2.81166 0.0123542
-1.22765 9.1 9.36395e-15 0.00436813 0.00436819 0.113944 2.81165 0.0122185
-1.24114 9.2 9.14378e-15 0.00437399 0.00437405 0.113672 2.81164 0.0120857
-1.25463 9.3 8.93153e-15 0.00437973 0.00437978 0.113406 2.81163 0.0119557
-1.26812 9.4 8.72681e-15 0.00438534 0.0043854 0.113145 2.81162 0.0118285
-1.28161 9.5 8.52927e-15 0.00439084 0.00439089 0.112889 2.81161 0.011704
