# * STATIC * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.114758
# a drude model was used for silver
# ------------- 
# ome (eV)	real(alph)	imag(alph)
#
  2.21872 	64.0574    	-9.14908   
  2.21884 	64.734     	-9.39321   
  2.21896 	65.4248    	-9.64564   
  2.21908 	66.1302    	-9.90674   
  2.2192  	66.8505    	-10.1769   
  2.21932 	67.5864    	-10.4565   
  2.21944 	68.3381    	-10.7461   
  2.21956 	69.1063    	-11.046    
  2.21968 	69.8915    	-11.3568   
  2.2198  	70.6941    	-11.679    
  2.21992 	71.5148    	-12.0131   
  2.22004 	72.354     	-12.3597   
  2.22016 	73.2125    	-12.7195   
  2.22028 	74.0909    	-13.093    
  2.2204  	74.9897    	-13.481    
  2.22052 	75.9097    	-13.8843   
  2.22064 	76.8515    	-14.3035   
  2.22076 	77.816     	-14.7396   
  2.22088 	78.8038    	-15.1934   
  2.221   	79.8157    	-15.6659   
  2.22112 	80.8526    	-16.1581   
  2.22124 	81.9153    	-16.671    
  2.22136 	83.0047    	-17.2059   
  2.22148 	84.1217    	-17.7639   
  2.2216  	85.2672    	-18.3464   
  2.22172 	86.4424    	-18.9547   
  2.22184 	87.6481    	-19.5904   
  2.22196 	88.8855    	-20.2552   
  2.22208 	90.1556    	-20.9506   
  2.2222  	91.4597    	-21.6786   
  2.22232 	92.7988    	-22.4412   
  2.22244 	94.1743    	-23.2406   
  2.22256 	95.5874    	-24.079    
  2.22268 	97.0394    	-24.9589   
  2.2228  	98.5316    	-25.883    
  2.22292 	100.066    	-26.8543   
  2.22304 	101.642    	-27.8758   
  2.22316 	103.264    	-28.9509   
  2.22328 	104.931    	-30.0833   
  2.2234  	106.646    	-31.2769   
  2.22352 	108.41     	-32.5361   
  2.22364 	110.225    	-33.8654   
  2.22376 	112.091    	-35.27     
  2.22388 	114.011    	-36.7552   
  2.224   	115.986    	-38.3272   
  2.22412 	118.017    	-39.9923   
  2.22424 	120.106    	-41.7576   
  2.22436 	122.253    	-43.6308   
  2.22448 	124.461    	-45.6204   
  2.2246  	126.729    	-47.7354   
  2.22472 	129.058    	-49.9859   
  2.22484 	131.448    	-52.3829   
  2.22496 	133.9      	-54.9381   
  2.22508 	136.412    	-57.6647   
  2.2252  	138.983    	-60.5769   
  2.22532 	141.61     	-63.6902   
  2.22544 	144.291    	-67.0216   
  2.22556 	147.022    	-70.5897   
  2.22568 	149.795    	-74.4146   
  2.2258  	152.605    	-78.5183   
  2.22592 	155.44     	-82.9245   
  2.22604 	158.289    	-87.6592   
  2.22616 	161.136    	-92.7501   
  2.22628 	163.963    	-98.2271   
  2.2264  	166.745    	-104.122   
  2.22652 	169.455    	-110.468   
  2.22664 	172.056    	-117.301   
  2.22676 	174.508    	-124.657   
  2.22688 	176.759    	-132.572   
  2.227   	178.748    	-141.083   
  2.22712 	180.405    	-150.223   
  2.22724 	181.643    	-160.022   
  2.22736 	182.365    	-170.503   
  2.22748 	182.457    	-181.68    
  2.2276  	181.788    	-193.553   
  2.22772 	180.214    	-206.102   
  2.22784 	177.573    	-219.283   
  2.22796 	173.695    	-233.019   
  2.22808 	168.401    	-247.198   
  2.2282  	161.516    	-261.658   
  2.22832 	152.876    	-276.191   
  2.22844 	142.345    	-290.533   
  2.22856 	129.832    	-304.369   
  2.22868 	115.308    	-317.341   
  2.2288  	98.8256    	-329.06    
  2.22892 	80.5312    	-339.13    
  2.22904 	60.6731    	-347.175   
  2.22916 	39.5977    	-352.873   
  2.22928 	17.7341    	-355.982   
  2.2294  	-4.43238   	-356.371   
  2.22952 	-26.395    	-354.031   
  2.22964 	-47.6637   	-349.076   
  2.22976 	-67.8005   	-341.728   
  2.22988 	-86.4468   	-332.299   
  2.23    	-103.34    	-321.155   
  2.23012 	-118.319   	-308.686   
  2.23024 	-131.317   	-295.281   
  2.23036 	-142.35    	-281.299   
  2.23048 	-151.496   	-267.058   
  2.2306  	-158.884   	-252.828   
  2.23072 	-164.668   	-238.824   
  2.23084 	-169.02    	-225.212   
  2.23096 	-172.114   	-212.114   
  2.23108 	-174.118   	-199.61    
  2.2312  	-175.191   	-187.752   
  2.23132 	-175.479   	-176.564   
  2.23144 	-175.112   	-166.051   
  2.23156 	-174.204   	-156.204   
  2.23168 	-172.856   	-147.002   
  2.2318  	-171.152   	-138.419   
  2.23192 	-169.166   	-130.422   
  2.23204 	-166.96    	-122.979   
  2.23216 	-164.586   	-116.055   
  2.23228 	-162.088   	-109.614   
  2.2324  	-159.501   	-103.622   
  2.23252 	-156.856   	-98.0475   
  2.23264 	-154.178   	-92.8585   
  2.23276 	-151.485   	-88.0261   
  2.23288 	-148.795   	-83.5228   
  2.233   	-146.121   	-79.3234   
  2.23312 	-143.474   	-75.4041   
  2.23324 	-140.861   	-71.7434   
  2.23336 	-138.29    	-68.3212   
  2.23348 	-135.764   	-65.1191   
  2.2336  	-133.289   	-62.1202   
  2.23372 	-130.867   	-59.309    
  2.23384 	-128.499   	-56.6713   
  2.23396 	-126.187   	-54.1941   
  2.23408 	-123.932   	-51.8654   
  2.2342  	-121.733   	-49.6743   
  2.23432 	-119.591   	-47.6109   
  2.23444 	-117.505   	-45.6658   
  2.23456 	-115.474   	-43.8306   
  2.23468 	-113.497   	-42.0977   
  2.2348  	-111.574   	-40.4598   
  2.23492 	-109.702   	-38.9105   
  2.23504 	-107.882   	-37.4437   
  2.23516 	-106.111   	-36.0539   
  2.23528 	-104.388   	-34.736    
