-9.58487 -1.77963e-07 3.56664e-08
-9.56834 -1.78275e-07 3.55694e-08
-9.55182 -1.78588e-07 3.5472e-08
-9.53529 -1.78902e-07 3.53744e-08
-9.51877 -1.79217e-07 3.52764e-08
-9.50224 -1.79533e-07 3.51782e-08
-9.48572 -1.79851e-07 3.50796e-08
-9.46919 -1.80169e-07 3.49807e-08
-9.45266 -1.80488e-07 3.48815e-08
-9.43614 -1.80808e-07 3.47819e-08
-9.41961 -1.81129e-07 3.46821e-08
-9.40309 -1.81451e-07 3.45819e-08
-9.38656 -1.81775e-07 3.44814e-08
-9.37004 -1.82099e-07 3.43806e-08
-9.35351 -1.82424e-07 3.42794e-08
-9.33699 -1.82751e-07 3.41779e-08
-9.32046 -1.83078e-07 3.40761e-08
-9.30393 -1.83407e-07 3.3974e-08
-9.28741 -1.83737e-07 3.38715e-08
-9.27088 -1.84067e-07 3.37687e-08
-9.25436 -1.84399e-07 3.36655e-08
-9.23783 -1.84732e-07 3.3562e-08
-9.22131 -1.85066e-07 3.34582e-08
-9.20478 -1.85401e-07 3.3354e-08
-9.18825 -1.85737e-07 3.32495e-08
-9.17173 -1.86075e-07 3.31446e-08
-9.1552 -1.86413e-07 3.30394e-08
-9.13868 -1.86753e-07 3.29338e-08
-9.12215 -1.87093e-07 3.28279e-08
-9.10563 -1.87435e-07 3.27216e-08
-9.0891 -1.87778e-07 3.26149e-08
-9.07258 -1.88123e-07 3.25079e-08
-9.05605 -1.88468e-07 3.24006e-08
-9.03952 -1.88814e-07 3.22929e-08
-9.023 -1.89162e-07 3.21848e-08
-9.00647 -1.89511e-07 3.20763e-08
-8.98995 -1.89861e-07 3.19675e-08
-8.97342 -1.90212e-07 3.18583e-08
-8.9569 -1.90565e-07 3.17487e-08
-8.94037 -1.90918e-07 3.16388e-08
-8.92384 -1.91273e-07 3.15285e-08
-8.90732 -1.91629e-07 3.14178e-08
-8.89079 -1.91986e-07 3.13067e-08
-8.87427 -1.92345e-07 3.11952e-08
-8.85774 -1.92705e-07 3.10834e-08
-8.84122 -1.93066e-07 3.09711e-08
-8.82469 -1.93428e-07 3.08585e-08
-8.80817 -1.93792e-07 3.07455e-08
-8.79164 -1.94156e-07 3.06321e-08
-8.77511 -1.94523e-07 3.05182e-08
-8.75859 -1.9489e-07 3.0404e-08
-8.74206 -1.95259e-07 3.02894e-08
-8.72554 -1.95629e-07 3.01744e-08
-8.70901 -1.96e-07 3.0059e-08
-8.69249 -1.96372e-07 2.99431e-08
-8.67596 -1.96746e-07 2.98269e-08
-8.65943 -1.97122e-07 2.97102e-08
-8.64291 -1.97498e-07 2.95932e-08
-8.62638 -1.97876e-07 2.94757e-08
-8.60986 -1.98255e-07 2.93578e-08
-8.59333 -1.98636e-07 2.92394e-08
-8.57681 -1.99018e-07 2.91207e-08
-8.56028 -1.99401e-07 2.90015e-08
-8.54375 -1.99786e-07 2.88819e-08
-8.52723 -2.00172e-07 2.87618e-08
-8.5107 -2.0056e-07 2.86414e-08
-8.49418 -2.00949e-07 2.85204e-08
-8.47765 -2.01339e-07 2.83991e-08
-8.46113 -2.01731e-07 2.82773e-08
-8.4446 -2.02124e-07 2.8155e-08
-8.42808 -2.02519e-07 2.80323e-08
-8.41155 -2.02915e-07 2.79092e-08
-8.39502 -2.03312e-07 2.77856e-08
-8.3785 -2.03711e-07 2.76615e-08
-8.36197 -2.04112e-07 2.7537e-08
-8.34545 -2.04514e-07 2.7412e-08
-8.32892 -2.04917e-07 2.72866e-08
-8.3124 -2.05322e-07 2.71607e-08
-8.29587 -2.05729e-07 2.70343e-08
-8.27934 -2.06137e-07 2.69075e-08
-8.26282 -2.06547e-07 2.67801e-08
-8.24629 -2.06958e-07 2.66523e-08
-8.22977 -2.0737e-07 2.6524e-08
-8.21324 -2.07784e-07 2.63953e-08
-8.19672 -2.082e-07 2.6266e-08
-8.18019 -2.08618e-07 2.61363e-08
-8.16367 -2.09036e-07 2.6006e-08
-8.14714 -2.09457e-07 2.58753e-08
-8.13061 -2.09879e-07 2.57441e-08
-8.11409 -2.10303e-07 2.56123e-08
-8.09756 -2.10728e-07 2.54801e-08
-8.08104 -2.11155e-07 2.53473e-08
-8.06451 -2.11584e-07 2.52141e-08
-8.04799 -2.12014e-07 2.50803e-08
-8.03146 -2.12446e-07 2.4946e-08
-8.01493 -2.1288e-07 2.48112e-08
-7.99841 -2.13315e-07 2.46758e-08
-7.98188 -2.13752e-07 2.454e-08
-7.96536 -2.14191e-07 2.44036e-08
-7.94883 -2.14631e-07 2.42666e-08
-7.93231 -2.15074e-07 2.41292e-08
-7.91578 -2.15517e-07 2.39912e-08
-7.89925 -2.15963e-07 2.38526e-08
-7.88273 -2.16411e-07 2.37135e-08
-7.8662 -2.1686e-07 2.35739e-08
-7.84968 -2.17311e-07 2.34336e-08
-7.83315 -2.17764e-07 2.32929e-08
-7.81663 -2.18218e-07 2.31516e-08
-7.8001 -2.18675e-07 2.30097e-08
-7.78358 -2.19133e-07 2.28672e-08
-7.76705 -2.19593e-07 2.27242e-08
-7.75052 -2.20055e-07 2.25805e-08
-7.734 -2.20519e-07 2.24364e-08
-7.71747 -2.20984e-07 2.22916e-08
-7.70095 -2.21452e-07 2.21462e-08
-7.68442 -2.21921e-07 2.20003e-08
-7.6679 -2.22393e-07 2.18537e-08
-7.65137 -2.22866e-07 2.17066e-08
-7.63484 -2.23341e-07 2.15588e-08
-7.61832 -2.23819e-07 2.14105e-08
-7.60179 -2.24298e-07 2.12615e-08
