  1.6325  	-0      	-0      	1       	-0      	-0      	200.144 	-1.50801	-1.18428
  1.633   	-0      	-0      	1       	-0      	-0      	200.112 	-1.50716	-1.18378
  1.6335  	-0      	-0      	1       	-0      	-0      	200.08  	-1.50632	-1.18329
  1.634   	-0      	-0      	1       	-0      	-0      	200.048 	-1.50547	-1.18279
  1.6345  	-0      	-0      	1       	-0      	-0      	200.016 	-1.50463	-1.1823 
  1.635   	-0      	-0      	1       	-0      	-0      	199.983 	-1.50379	-1.1818 
  1.6355  	-0      	-0      	1       	-0      	-0      	199.951 	-1.50294	-1.1813 
  1.636   	-0      	-0      	1       	-0      	-0      	199.919 	-1.5021 	-1.18081
  1.6365  	-0      	-0      	1       	-0      	-0      	199.887 	-1.50125	-1.18031
  1.637   	-0      	-0      	1       	-0      	-0      	199.855 	-1.50041	-1.17982
  1.6375  	-0      	-0      	1       	-0      	-0      	199.823 	-1.49957	-1.17932
  1.638   	-0      	-0      	1       	-0      	-0      	199.791 	-1.49872	-1.17883
  1.6385  	-0      	-0      	1       	-0      	-0      	199.76  	-1.49788	-1.17833
  1.639   	-0      	-0      	1       	-0      	-0      	199.728 	-1.49704	-1.17783
  1.6395  	-0      	-0      	1       	-0      	-0      	199.696 	-1.4962 	-1.17734
  1.64    	-0      	-0      	1       	-0      	-0      	199.664 	-1.49536	-1.17684
  1.6405  	-0      	-0      	1       	-0      	-0      	199.632 	-1.49451	-1.17635
  1.641   	-0      	-0      	1       	-0      	-0      	199.601 	-1.49367	-1.17585
  1.6415  	-0      	-0      	1       	-0      	-0      	199.569 	-1.49283	-1.17536
  1.642   	-0      	-0      	1       	-0      	-0      	199.537 	-1.49199	-1.17486
  1.6425  	-0      	-0      	1       	-0      	-0      	199.506 	-1.49115	-1.17437
  1.643   	-0      	-0      	1       	-0      	-0      	199.474 	-1.49031	-1.17387
  1.6435  	-0      	-0      	1       	-0      	-0      	199.442 	-1.48947	-1.17337
  1.644   	-0      	-0      	1       	-0      	-0      	199.411 	-1.48863	-1.17288
  1.6445  	-0      	-0      	1       	-0      	-0      	199.379 	-1.48779	-1.17238
  1.645   	-0      	-0      	1       	-0      	-0      	199.348 	-1.48695	-1.17189
  1.6455  	-0      	-0      	1       	-0      	-0      	199.316 	-1.48611	-1.17139
  1.646   	-0      	-0      	1       	-0      	-0      	199.285 	-1.48527	-1.1709 
  1.6465  	-0      	-0      	1       	-0      	-0      	199.254 	-1.48444	-1.1704 
  1.647   	-0      	-0      	1       	-0      	-0      	199.222 	-1.4836 	-1.16991
  1.6475  	-0      	-0      	1       	-0      	-0      	199.191 	-1.48276	-1.16941
  1.648   	-0      	-0      	1       	-0      	-0      	199.16  	-1.48192	-1.16891
  1.6485  	-0      	-0      	1       	-0      	-0      	199.128 	-1.48108	-1.16842
  1.649   	-0      	-0      	1       	-0      	-0      	199.097 	-1.48025	-1.16792
  1.6495  	-0      	-0      	1       	-0      	-0      	199.066 	-1.47941	-1.16743
  1.65    	-0      	-0      	1       	-0      	-0      	199.035 	-1.47857	-1.16693
